se1;se2;se3;se4
.0090067;.0029908;.0022109;.0025611
.0125916;.0031221;.0025951;.001882
.0100593;.0023322;.001818;.0013096
.0112282;.0026694;.0021659;.0015191
.0130791;.0032909;.0027498;.0020239
.0125916;.0031221;.0025951;.001882
.0112282;.0026694;.0021659;.0015191
.0112282;.0026694;.0021659;.0015191
.010423;.0024284;.001922;.001357
.0088092;.0028375;.0020805;.0023998
.0094244;.0021988;.001657;.0012947
.0088092;.0028375;.0020805;.0023998
.0135801;.0034664;.0029089;.0021729
.0108136;.0025416;.0020387;.0014279
.0088092;.0028375;.0020805;.0023998
.010423;.0024284;.001922;.001357
.0091597;.0021653;.0016048;.0013281
.0125916;.0031221;.0025951;.001882
.0108136;.0025416;.0020387;.0014279
.008656;.0026948;.00196;.0022428
.0135801;.0034664;.0029089;.0021729
.0192882;.00741;.0059721;.0064961
.0108136;.0025416;.0020387;.0014279
.0121194;.0029614;.0024455;.0017491
.0112282;.0026694;.0021659;.0015191
.0084916;.0024484;.001757;.0019457
.0135801;.0034664;.0029089;.0021729
.0084916;.0024484;.001757;.0019457
.0097253;.002255;.0017288;.0012884
.0130791;.0032909;.0027498;.0020239
.0112282;.0026694;.0021659;.0015191
.0089345;.0021555;.0015743;.0013866
.0135801;.0034664;.0029089;.0021729
.0087518;.0021698;.0015666;.0014672
.0130791;.0032909;.0027498;.0020239
.0108136;.0025416;.0020387;.0014279
.0135801;.0034664;.0029089;.0021729
.0112282;.0026694;.0021659;.0015191
.010423;.0024284;.001922;.001357
.0085242;.0022679;.0016201;.0016813
.0094244;.0021988;.001657;.0012947
.0091597;.0021653;.0016048;.0013281
.0135801;.0034664;.0029089;.0021729
.0109525;.0040607;.0031271;.0035858
.0135801;.0034664;.0029089;.0021729
.0105534;.0038694;.0029633;.0034103
.0116642;.0028099;.002302;.0016272
.0130791;.0032909;.0027498;.0020239
.0097253;.002255;.0017288;.0012884
.0089345;.0021555;.0015743;.0013866
.010423;.0024284;.001922;.001357
.0135801;.0034664;.0029089;.0021729
.0097253;.002255;.0017288;.0012884
.010423;.0024284;.001922;.001357
.0135801;.0034664;.0029089;.0021729
.0121194;.0029614;.0024455;.0017491
.0142709;.0054793;.0043365;.0048425
.0135801;.0034664;.0029089;.0021729
.0084916;.0024484;.001757;.0019457
.0135801;.0034664;.0029089;.0021729
.0094244;.0021988;.001657;.0012947
.010423;.0024284;.001922;.001357
.0116642;.0028099;.002302;.0016272
.0135801;.0034664;.0029089;.0021729
.0094244;.0021988;.001657;.0012947
.0130791;.0032909;.0027498;.0020239
.0130791;.0032909;.0027498;.0020239
.0112282;.0026694;.0021659;.0015191
.0095232;.0033232;.0024953;.0028937
.0091597;.0021653;.0016048;.0013281
.0135801;.0034664;.0029089;.0021729
.0135801;.0034664;.0029089;.0021729
.0121194;.0029614;.0024455;.0017491
.0086143;.0022077;.0015821;.0015665
.0092458;.0031532;.0023496;.002726
.0100593;.0023322;.001818;.0013096
.0112282;.0026694;.0021659;.0015191
.0098357;.0034999;.0026467;.003064
.0125916;.0031221;.0025951;.001882
.0130791;.0032909;.0027498;.0020239
.0085495;.0025644;.0018515;.002091
.0084916;.0024484;.001757;.0019457
.0116642;.0028099;.002302;.0016272
.0091597;.0021653;.0016048;.0013281
.0088092;.0028375;.0020805;.0023998
.0127563;.0048579;.0038077;.0042991
.0125916;.0031221;.0025951;.001882
.0125916;.0031221;.0025951;.001882
.0084916;.0024484;.001757;.0019457
.010423;.0024284;.001922;.001357
.0130791;.0032909;.0027498;.0020239
.0100593;.0023322;.001818;.0013096
.0087518;.0021698;.0015666;.0014672
.0100593;.0023322;.001818;.0013096
.0097253;.002255;.0017288;.0012884
.0087518;.0021698;.0015666;.0014672
.010423;.0024284;.001922;.001357
.0135801;.0034664;.0029089;.0021729
.0121194;.0029614;.0024455;.0017491
.0084916;.0024484;.001757;.0019457
.0094244;.0021988;.001657;.0012947
.0085495;.0025644;.0018515;.002091
.0121194;.0029614;.0024455;.0017491
.0091597;.0021653;.0016048;.0013281
.0085242;.0022679;.0016201;.0016813
.0125916;.0031221;.0025951;.001882
.0086143;.0022077;.0015821;.0015665
.0130791;.0032909;.0027498;.0020239
.0087518;.0021698;.0015666;.0014672
.0125916;.0031221;.0025951;.001882
.0116642;.0028099;.002302;.0016272
.0094244;.0021988;.001657;.0012947
.0121194;.0029614;.0024455;.0017491
.0125916;.0031221;.0025951;.001882
.0135801;.0034664;.0029089;.0021729
.0089345;.0021555;.0015743;.0013866
.0125916;.0031221;.0025951;.001882
.0135801;.0034664;.0029089;.0021729
.0121194;.0029614;.0024455;.0017491
.0108136;.0025416;.0020387;.0014279
.0135801;.0034664;.0029089;.0021729
.0112282;.0026694;.0021659;.0015191
.0135801;.0034664;.0029089;.0021729
.0097253;.002255;.0017288;.0012884
.010423;.0024284;.001922;.001357
.0130791;.0032909;.0027498;.0020239
.0135801;.0034664;.0029089;.0021729
.0135801;.0034664;.0029089;.0021729
.0113747;.0042557;.0032938;.0037626
.0125916;.0031221;.0025951;.001882
.0112282;.0026694;.0021659;.0015191
.0094244;.0021988;.001657;.0012947
.0130791;.0032909;.0027498;.0020239
.0121194;.0029614;.0024455;.0017491
.0130791;.0032909;.0027498;.0020239
.0101802;.0036822;.002803;.0032362
.0121194;.0029614;.0024455;.0017491
.0135801;.0034664;.0029089;.0021729
.0097253;.002255;.0017288;.0012884
.0112282;.0026694;.0021659;.0015191
.0125916;.0031221;.0025951;.001882
.0101802;.0036822;.002803;.0032362
.0125916;.0031221;.0025951;.001882
.0085495;.0025644;.0018515;.002091
.0094244;.0021988;.001657;.0012947
.0135801;.0034664;.0029089;.0021729
.0084916;.0024484;.001757;.0019457
.0097253;.002255;.0017288;.0012884
.0130791;.0032909;.0027498;.0020239
.008656;.0026948;.00196;.0022428
.0130791;.0032909;.0027498;.0020239
.0130791;.0032909;.0027498;.0020239
.0125916;.0031221;.0025951;.001882
.0108136;.0025416;.0020387;.0014279
.0130791;.0032909;.0027498;.0020239
.0116642;.0028099;.002302;.0016272
.0100593;.0023322;.001818;.0013096
.0121194;.0029614;.0024455;.0017491
.0125916;.0031221;.0025951;.001882
.0087518;.0021698;.0015666;.0014672
.0084916;.0024484;.001757;.0019457
.0130791;.0032909;.0027498;.0020239
.0135801;.0034664;.0029089;.0021729
.010423;.0024284;.001922;.001357
.0089345;.0021555;.0015743;.0013866
.0086143;.0022077;.0015821;.0015665
.0108136;.0025416;.0020387;.0014279
.008656;.0026948;.00196;.0022428
.0116642;.0028099;.002302;.0016272
.0097253;.002255;.0017288;.0012884
.008656;.0026948;.00196;.0022428
.010423;.0024284;.001922;.001357
.0121194;.0029614;.0024455;.0017491
.0135801;.0034664;.0029089;.0021729
.0091597;.0021653;.0016048;.0013281
.0125916;.0031221;.0025951;.001882
