yhat1;yhat2;yhat3;yhat4
.56027203;.53773391;.56027203;.54160398
.92096138;.92427733;.92096138;.92541412
.81856175;.82892892;.81856175;.82150578
.87382416;.88187511;.87382416;.87820466
.93411563;.93588095;.93411563;.9383527
.92096138;.92427733;.92096138;.92541412
.87382416;.88187511;.87382416;.87820466
.87382416;.88187511;.87382416;.87820466
.83758651;.84763337;.83758651;.84116486
.58024931;.56122411;.58024931;.56452339
.77948518;.78884392;.77948518;.78074654
.58024931;.56122411;.58024931;.56452339
.94582336;.94622409;.94582336;.94976527
.85606642;.865311;.85606642;.86012543
.58024931;.56122411;.58024931;.56452339
.83758651;.84763337;.83758651;.84116486
.75966757;.76768186;.75966757;.75990601
.92096138;.92427733;.92096138;.92541412
.85606642;.865311;.85606642;.86012543
.60021238;.58471635;.60021238;.58714156
.94582336;.94622409;.94582336;.94976527
.125809;.02570817;.125809;.08495995
.85606642;.865311;.85606642;.86012543
.90643989;.91139929;.90643989;.91100302
.87382416;.88187511;.87382416;.87820466
.64010104;.63160297;.64010104;.63152057
.94582336;.94622409;.94582336;.94976527
.64010104;.63160297;.64010104;.63152057
.79915063;.80929668;.79915063;.80131783
.93411563;.93588095;.93411563;.9383527
.87382416;.88187511;.87382416;.87820466
.73977041;.74592154;.73977041;.73887551
.94582336;.94622409;.94582336;.94976527
.71984008;.72367011;.71984008;.71770006
.93411563;.93588095;.93411563;.9383527
.85606642;.865311;.85606642;.86012543
.94582336;.94622409;.94582336;.94976527
.87382416;.88187511;.87382416;.87820466
.83758651;.84763337;.83758651;.84116486
.67996634;.67808467;.67996634;.67494815
.77948518;.78884392;.77948518;.78074654
.75966757;.76768186;.75966757;.75990601
.94582336;.94622409;.94582336;.94976527
.44022861;.39735072;.44022861;.39943936
.94582336;.94622409;.94582336;.94976527
.46024131;.42067224;.46024131;.4233894
.89067487;.89725507;.89067487;.8952199
.93411563;.93588095;.93411563;.9383527
.79915063;.80929668;.79915063;.80131783
.73977041;.74592154;.73977041;.73887551
.83758651;.84763337;.83758651;.84116486
.94582336;.94622409;.94582336;.94976527
.79915063;.80929668;.79915063;.80131783
.83758651;.84763337;.83758651;.84116486
.94582336;.94622409;.94582336;.94976527
.90643989;.91139929;.90643989;.91100302
.30055485;.23458345;.30055485;.24043225
.94582336;.94622409;.94582336;.94976527
.64010104;.63160297;.64010104;.63152057
.94582336;.94622409;.94582336;.94976527
.77948518;.78884392;.77948518;.78074654
.83758651;.84763337;.83758651;.84116486
.89067487;.89725507;.89067487;.8952199
