;;Estimate;Std. Err.;z;P>|z|;[95% Conf.;Interval]
E[y|c, X];;;;;;;
Comp1;(Intercept) ;-0.4029312;0.0215507;-18.7;0;-0.4451698;-0.3606925
;hr;0.3050275;0.0063324;48.17;0;0.2926162;0.3174389
;lnsigma;-1.263205;0.0211453;-59.74;0;-1.304649;-1.221761
Comp2;(Intercept) ;0.2261472;0.0069948;32.33;0;0.2124377;0.2398566
;hr;0.1480158;0.0019441;76.13;0;0.1442053;0.1518263
;lnsigma;-2.45414;0.0177415;-138.33;0;-2.488913;-2.419367
P[c|X];;;;;;;
Comp1 ;(Intercept) ;-0.7075574;0.061444;-11.52;0;-0.8279855;-0.5871293
N = 10565; ll = 685.79;;;;;;
