;;Estimate;Std. Err.;z;P>|z|;[95% Conf.;Interval]
E[y|c, X];;;;;;;
Comp1;(Intercept) ;0.0129138;0.0269556;0.48;0.632;-0.0399183;0.0657459
;hr;0.0887522;0.0108455;8.18;0;0.0674954;0.110009
;lnsigma;-1.319285;0.0340906;-38.7;0;-1.386101;-1.252468
Comp2;(Intercept) ;0.1763049;0.0075321;23.41;0;0.1615422;0.1910675
;hr;0.1619008;0.0019171;84.45;0;0.1581433;0.1656582
;lnsigma;-2.271434;0.012582;-180.53;0;-2.296095;-2.246774
P[c|X];;;;;;;
Comp1 ;(Intercept) ;2.431909;0.1748113;13.91;0;2.089285;2.774533
;hr;-1.395115;0.0557792;-25.01;0;-1.50444;-1.28579
N = 10565; ll = 942.71;;;;;;
